Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.7419354838709677,0.7795454545454545,0.7795454545454545,0.7468148549742477,0.017950057983398438
KNeighborsClassifier,0.6774193548387096,0.7090909090909091,0.7090909090909092,0.6835185687178096,0.017951011657714844
NearestCentroid,0.7096774193548387,0.6931818181818181,0.6931818181818181,0.7122666954364009,0.015920400619506836
BaggingClassifier,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.046834468841552734
ExtraTreesClassifier,0.6451612903225806,0.6840909090909091,0.6840909090909092,0.6503522432332222,0.10376119613647461
BernoulliNB,0.7096774193548387,0.6727272727272727,0.6727272727272727,0.7063054962346859,0.013962745666503906
RidgeClassifierCV,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.018950223922729492
LogisticRegression,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.028922080993652344
SVC,0.6129032258064516,0.6590909090909092,0.6590909090909092,0.6161290322580646,0.025930166244506836
QuadraticDiscriminantAnalysis,0.6129032258064516,0.6590909090909092,0.6590909090909092,0.6161290322580646,0.04188823699951172
SGDClassifier,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.02293705940246582
LabelPropagation,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.01595902442932129
LabelSpreading,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.015955448150634766
AdaBoostClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.1276998519897461
ExtraTreeClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.013964176177978516
RidgeClassifier,0.6451612903225806,0.6227272727272727,0.6227272727272727,0.6483259610889344,0.01795220375061035
LGBMClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.0608370304107666
RandomForestClassifier,0.5806451612903226,0.6136363636363636,0.6136363636363636,0.5867799238210806,0.2373645305633545
XGBClassifier,0.5806451612903226,0.6136363636363636,0.6136363636363636,0.5867799238210806,0.08377623558044434
PassiveAggressiveClassifier,0.5806451612903226,0.5931818181818183,0.5931818181818183,0.5895203959720089,0.017954111099243164
DecisionTreeClassifier,0.5806451612903226,0.5931818181818183,0.5931818181818183,0.5895203959720089,0.018950462341308594
GaussianNB,0.4838709677419355,0.5795454545454546,0.5795454545454546,0.4452715743038324,0.020905733108520508
Perceptron,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.03390765190124512
CalibratedClassifierCV,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.08178138732910156
LinearSVC,0.5483870967741935,0.5477272727272727,0.5477272727272727,0.5580369451337194,0.02497100830078125
LinearDiscriminantAnalysis,0.5161290322580645,0.5431818181818182,0.5431818181818181,0.5232076044089392,0.01789093017578125
DummyClassifier,0.3548387096774194,0.5,0.5,0.1858678955453149,0.01595616340637207
