Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.7741935483870968,0.6847826086956521,0.6847826086956522,0.7690688629604209,0.12769699096679688
BaggingClassifier,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.03686189651489258
BernoulliNB,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.01296544075012207
DecisionTreeClassifier,0.6774193548387096,0.6195652173913043,0.6195652173913043,0.6880091234929945,0.010969877243041992
SVC,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.014921903610229492
LGBMClassifier,0.6774193548387096,0.5788043478260869,0.578804347826087,0.6774193548387096,0.0438838005065918
LogisticRegression,0.7096774193548387,0.5597826086956521,0.5597826086956521,0.685066085987745,0.013964176177978516
RandomForestClassifier,0.7096774193548387,0.5597826086956521,0.5597826086956521,0.685066085987745,0.12367105484008789
ExtraTreeClassifier,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.009972572326660156
LabelPropagation,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.013005256652832031
LabelSpreading,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.0099334716796875
NearestCentroid,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.010010957717895508
RidgeClassifierCV,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.013073444366455078
XGBClassifier,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.06083488464355469
ExtraTreesClassifier,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.11469364166259766
RidgeClassifier,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.011922836303710938
KNeighborsClassifier,0.7096774193548387,0.5190217391304348,0.5190217391304348,0.6579265137139898,0.015918493270874023
LinearDiscriminantAnalysis,0.6451612903225806,0.5163043478260869,0.5163043478260869,0.6371082132235187,0.01595759391784668
DummyClassifier,0.7419354838709677,0.5,0.5,0.6320191158900836,0.012928247451782227
QuadraticDiscriminantAnalysis,0.7419354838709677,0.5,0.5,0.6320191158900836,0.014398574829101562
Perceptron,0.6774193548387096,0.49728260869565216,0.49728260869565216,0.6365591397849462,0.012965679168701172
PassiveAggressiveClassifier,0.6129032258064516,0.4945652173913043,0.49456521739130427,0.6129032258064515,0.009974241256713867
GaussianNB,0.6129032258064516,0.4945652173913043,0.49456521739130427,0.6129032258064515,0.010012388229370117
CalibratedClassifierCV,0.7096774193548387,0.4782608695652174,0.4782608695652174,0.6159464394400487,0.037938833236694336
SGDClassifier,0.6129032258064516,0.453804347826087,0.453804347826087,0.5933179723502303,0.009015560150146484
LinearSVC,0.6129032258064516,0.453804347826087,0.453804347826087,0.5933179723502303,0.012963056564331055
