Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
GaussianNB,0.6129032258064516,0.7391304347826086,0.7391304347826086,0.6275413391162917,0.030873537063598633
ExtraTreeClassifier,0.8064516129032258,0.7065217391304348,0.7065217391304348,0.7966589861751151,0.020983219146728516
AdaBoostClassifier,0.7741935483870968,0.6847826086956521,0.6847826086956522,0.7690688629604209,0.1346418857574463
NearestCentroid,0.7419354838709677,0.6630434782608696,0.6630434782608695,0.7419354838709677,0.03690075874328613
BaggingClassifier,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.05185890197753906
BernoulliNB,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.019947052001953125
SVC,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.03170967102050781
RandomForestClassifier,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.23464584350585938
DecisionTreeClassifier,0.6774193548387096,0.6195652173913043,0.6195652173913043,0.6880091234929945,0.02389693260192871
LGBMClassifier,0.7096774193548387,0.6005434782608696,0.6005434782608696,0.7030885380919698,0.0827784538269043
KNeighborsClassifier,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.026929140090942383
RidgeClassifier,0.6774193548387096,0.5788043478260869,0.578804347826087,0.6774193548387096,0.022937536239624023
LogisticRegression,0.7096774193548387,0.5597826086956521,0.5597826086956521,0.685066085987745,0.03386187553405762
ExtraTreesClassifier,0.7096774193548387,0.5597826086956521,0.5597826086956521,0.685066085987745,0.1365971565246582
LabelPropagation,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.022977113723754883
LabelSpreading,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.022938251495361328
LinearDiscriminantAnalysis,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.03214859962463379
Perceptron,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.027924776077270508
RidgeClassifierCV,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.02692890167236328
XGBClassifier,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.07878851890563965
QuadraticDiscriminantAnalysis,0.7419354838709677,0.5,0.5,0.6320191158900836,0.030917644500732422
DummyClassifier,0.7419354838709677,0.5,0.5,0.6320191158900836,0.01994609832763672
CalibratedClassifierCV,0.7096774193548387,0.4782608695652174,0.4782608695652174,0.6159464394400487,0.0588831901550293
PassiveAggressiveClassifier,0.6774193548387096,0.45652173913043476,0.4565217391304348,0.5992555831265507,0.022938966751098633
LinearSVC,0.6129032258064516,0.453804347826087,0.453804347826087,0.5933179723502303,0.028933286666870117
SGDClassifier,0.6129032258064516,0.41304347826086957,0.41304347826086957,0.5638709677419355,0.02094411849975586
