Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
GaussianNB,0.6129032258064516,0.7391304347826086,0.7391304347826086,0.6275413391162917,0.019950151443481445
AdaBoostClassifier,0.7741935483870968,0.6847826086956521,0.6847826086956522,0.7690688629604209,0.1515963077545166
BernoulliNB,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.014958381652832031
RandomForestClassifier,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.14963984489440918
BaggingClassifier,0.7419354838709677,0.6222826086956521,0.6222826086956521,0.7288786482334868,0.043881893157958984
ExtraTreesClassifier,0.7096774193548387,0.6005434782608696,0.6005434782608696,0.7030885380919698,0.10475683212280273
LGBMClassifier,0.7096774193548387,0.6005434782608696,0.6005434782608696,0.7030885380919698,0.07878875732421875
ExtraTreeClassifier,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.01495671272277832
KNeighborsClassifier,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.04284262657165527
SVC,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.01495981216430664
RidgeClassifier,0.6774193548387096,0.5788043478260869,0.578804347826087,0.6774193548387096,0.021898269653320312
LogisticRegression,0.7096774193548387,0.5597826086956521,0.5597826086956521,0.685066085987745,0.039893150329589844
LabelPropagation,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.03191542625427246
LabelSpreading,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.030917882919311523
NearestCentroid,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.021941661834716797
RidgeClassifierCV,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.022975683212280273
XGBClassifier,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.06379032135009766
LinearDiscriminantAnalysis,0.6129032258064516,0.5353260869565217,0.5353260869565217,0.6256109481915932,0.04188871383666992
DummyClassifier,0.7419354838709677,0.5,0.5,0.6320191158900836,0.014925956726074219
QuadraticDiscriminantAnalysis,0.7419354838709677,0.5,0.5,0.6320191158900836,0.019945621490478516
SGDClassifier,0.6774193548387096,0.49728260869565216,0.49728260869565216,0.6365591397849462,0.013962984085083008
PassiveAggressiveClassifier,0.6129032258064516,0.4945652173913043,0.49456521739130427,0.6129032258064515,0.014962196350097656
DecisionTreeClassifier,0.6129032258064516,0.4945652173913043,0.49456521739130427,0.6129032258064515,0.017989158630371094
CalibratedClassifierCV,0.7096774193548387,0.4782608695652174,0.4782608695652174,0.6159464394400487,0.04791140556335449
LinearSVC,0.6129032258064516,0.453804347826087,0.453804347826087,0.5933179723502303,0.052858591079711914
Perceptron,0.5806451612903226,0.4320652173913043,0.4320652173913043,0.5711278883550676,0.013961076736450195
