Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.7741935483870968,0.6847826086956521,0.6847826086956522,0.7690688629604209,0.18350958824157715
BaggingClassifier,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.04288363456726074
BernoulliNB,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.013962507247924805
RandomForestClassifier,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.13962435722351074
RidgeClassifier,0.7096774193548387,0.6005434782608696,0.6005434782608696,0.7030885380919698,0.015997886657714844
LGBMClassifier,0.7096774193548387,0.6005434782608696,0.6005434782608696,0.7030885380919698,0.0747995376586914
KNeighborsClassifier,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.027924537658691406
SVC,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.014998197555541992
GaussianNB,0.5483870967741935,0.5733695652173914,0.5733695652173914,0.5761177136389362,0.021943092346191406
LogisticRegression,0.7096774193548387,0.5597826086956521,0.5597826086956521,0.685066085987745,0.018947839736938477
LabelPropagation,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.01994633674621582
LabelSpreading,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.015956878662109375
LinearDiscriminantAnalysis,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.016057729721069336
NearestCentroid,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.013962507247924805
ExtraTreeClassifier,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.014919042587280273
ExtraTreesClassifier,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.09973287582397461
XGBClassifier,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.0707705020904541
RidgeClassifierCV,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.0179135799407959
DecisionTreeClassifier,0.6451612903225806,0.5163043478260869,0.5163043478260869,0.6371082132235187,0.018950700759887695
DummyClassifier,0.7419354838709677,0.5,0.5,0.6320191158900836,0.015996694564819336
QuadraticDiscriminantAnalysis,0.7419354838709677,0.5,0.5,0.6320191158900836,0.017583608627319336
SGDClassifier,0.6129032258064516,0.4945652173913043,0.49456521739130427,0.6129032258064515,0.013962507247924805
PassiveAggressiveClassifier,0.6129032258064516,0.4945652173913043,0.49456521739130427,0.6129032258064515,0.01400136947631836
CalibratedClassifierCV,0.7096774193548387,0.4782608695652174,0.4782608695652174,0.6159464394400487,0.0468745231628418
LinearSVC,0.6129032258064516,0.453804347826087,0.453804347826087,0.5933179723502303,0.023900508880615234
Perceptron,0.5483870967741935,0.45108695652173914,0.45108695652173914,0.5632127728901923,0.013925313949584961
