Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.7741935483870968,0.6847826086956521,0.6847826086956522,0.7690688629604209,0.12666106224060059
XGBClassifier,0.8064516129032258,0.6657608695652174,0.6657608695652174,0.7819354838709678,0.054853200912475586
BaggingClassifier,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.03191566467285156
DecisionTreeClassifier,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.007979869842529297
ExtraTreeClassifier,0.7096774193548387,0.6413043478260869,0.641304347826087,0.7149905123339659,0.014958620071411133
LinearSVC,0.7419354838709677,0.6222826086956521,0.6222826086956521,0.7288786482334868,0.011014699935913086
LGBMClassifier,0.7419354838709677,0.6222826086956521,0.6222826086956521,0.7288786482334868,0.03690218925476074
PassiveAggressiveClassifier,0.7096774193548387,0.6005434782608696,0.6005434782608696,0.7030885380919698,0.009975433349609375
SVC,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.007979154586791992
LogisticRegression,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.010933637619018555
RandomForestClassifier,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.14361572265625
LabelPropagation,0.6774193548387096,0.5788043478260869,0.578804347826087,0.6774193548387096,0.017994165420532227
LabelSpreading,0.6774193548387096,0.5788043478260869,0.578804347826087,0.6774193548387096,0.013922929763793945
LinearDiscriminantAnalysis,0.7096774193548387,0.5597826086956521,0.5597826086956521,0.685066085987745,0.011968135833740234
NearestCentroid,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.008970022201538086
GaussianNB,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.014969587326049805
SGDClassifier,0.6129032258064516,0.5353260869565217,0.5353260869565217,0.6256109481915932,0.007978200912475586
RidgeClassifier,0.7096774193548387,0.5190217391304348,0.5190217391304348,0.6579265137139898,0.008976936340332031
ExtraTreesClassifier,0.7096774193548387,0.5190217391304348,0.5190217391304348,0.6579265137139898,0.1147000789642334
RidgeClassifierCV,0.7096774193548387,0.5190217391304348,0.5190217391304348,0.6579265137139898,0.00897526741027832
DummyClassifier,0.7419354838709677,0.5,0.5,0.6320191158900836,0.00897526741027832
KNeighborsClassifier,0.6774193548387096,0.49728260869565216,0.49728260869565216,0.6365591397849462,0.011955976486206055
BernoulliNB,0.6774193548387096,0.49728260869565216,0.49728260869565216,0.6365591397849462,0.012966156005859375
Perceptron,0.6129032258064516,0.4945652173913043,0.49456521739130427,0.6129032258064515,0.00897359848022461
CalibratedClassifierCV,0.6774193548387096,0.45652173913043476,0.4565217391304348,0.5992555831265507,0.03989243507385254
QuadraticDiscriminantAnalysis,0.5483870967741935,0.45108695652173914,0.45108695652173914,0.5632127728901923,0.007978677749633789
