Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
SGDClassifier,0.8709677419354839,0.9090909090909092,0.9090909090909091,0.8762463343108504,0.013962268829345703
LinearSVC,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.0219419002532959
LogisticRegression,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.025970935821533203
RidgeClassifier,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.015000104904174805
PassiveAggressiveClassifier,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.013961315155029297
LinearDiscriminantAnalysis,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.016755342483520508
BernoulliNB,0.8387096774193549,0.8535353535353536,0.8535353535353534,0.8443295492862762,0.013962030410766602
NearestCentroid,0.8387096774193549,0.8535353535353536,0.8535353535353534,0.8443295492862762,0.014920234680175781
RidgeClassifierCV,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.01832723617553711
LabelPropagation,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.014997720718383789
LabelSpreading,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.015915393829345703
XGBClassifier,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.09175276756286621
NuSVC,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.016994714736938477
AdaBoostClassifier,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.13567686080932617
ExtraTreeClassifier,0.7419354838709677,0.7525252525252526,0.7525252525252525,0.7524926686217008,0.013962030410766602
Perceptron,0.7741935483870968,0.7424242424242424,0.7424242424242422,0.7775101670154382,0.012968301773071289
KNeighborsClassifier,0.8064516129032258,0.7323232323232323,0.7323232323232324,0.798562412342216,0.018912792205810547
CalibratedClassifierCV,0.8064516129032258,0.7323232323232323,0.7323232323232324,0.798562412342216,0.05688643455505371
ExtraTreesClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.1266613006591797
SVC,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.015959739685058594
LGBMClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.05585050582885742
RandomForestClassifier,0.7741935483870968,0.6767676767676767,0.6767676767676768,0.7588194921070694,0.13858842849731445
BaggingClassifier,0.7096774193548387,0.6641414141414141,0.6641414141414141,0.7139416433055632,0.04583621025085449
DecisionTreeClassifier,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.01791095733642578
GaussianNB,0.3548387096774194,0.5454545454545454,0.5454545454545454,0.255800792303339,0.0169980525970459
QuadraticDiscriminantAnalysis,0.7096774193548387,0.5,0.5,0.5891661594643944,0.017416954040527344
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.014960527420043945
