Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.04488039016723633
GaussianNB,0.8064516129032258,0.797979797979798,0.7979797979797979,0.811520737327189,0.01196908950805664
NearestCentroid,0.8064516129032258,0.797979797979798,0.7979797979797979,0.811520737327189,0.00897669792175293
RidgeClassifier,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.013961315155029297
LogisticRegression,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.010969877243041992
LinearDiscriminantAnalysis,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.01594996452331543
LinearSVC,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.016955852508544922
SGDClassifier,0.7741935483870968,0.7752525252525253,0.7752525252525252,0.7820613690007868,0.03143143653869629
LabelPropagation,0.7741935483870968,0.7752525252525253,0.7752525252525252,0.7820613690007868,0.008974790573120117
LabelSpreading,0.7741935483870968,0.7752525252525253,0.7752525252525252,0.7820613690007868,0.01696181297302246
QuadraticDiscriminantAnalysis,0.7741935483870968,0.7752525252525253,0.7752525252525252,0.7820613690007868,0.007976055145263672
NuSVC,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.012965917587280273
SVC,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.023935556411743164
KNeighborsClassifier,0.7741935483870968,0.7424242424242424,0.7424242424242422,0.7775101670154382,0.011968135833740234
Perceptron,0.7741935483870968,0.7424242424242424,0.7424242424242422,0.7775101670154382,0.007980823516845703
XGBClassifier,0.8064516129032258,0.7323232323232323,0.7323232323232324,0.798562412342216,0.0643460750579834
BaggingClassifier,0.8064516129032258,0.6994949494949495,0.6994949494949495,0.7868663594470046,0.035904884338378906
CalibratedClassifierCV,0.8064516129032258,0.6994949494949495,0.6994949494949495,0.7868663594470046,0.03889608383178711
DecisionTreeClassifier,0.7741935483870968,0.6767676767676767,0.6767676767676768,0.7588194921070694,0.009974241256713867
RandomForestClassifier,0.7741935483870968,0.6767676767676767,0.6767676767676768,0.7588194921070694,1.8710706233978271
BernoulliNB,0.7741935483870968,0.6767676767676767,0.6767676767676768,0.7588194921070694,0.013961553573608398
RidgeClassifierCV,0.7741935483870968,0.6439393939393939,0.6439393939393939,0.7422899680964197,0.012966156005859375
ExtraTreesClassifier,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.1266613006591797
AdaBoostClassifier,0.6129032258064516,0.595959595959596,0.595959595959596,0.6287390029325514,0.22240233421325684
PassiveAggressiveClassifier,0.5161290322580645,0.5606060606060606,0.5606060606060606,0.5345622119815667,0.010969161987304688
ExtraTreeClassifier,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.010969400405883789
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.013962745666503906
