Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.014957904815673828
NearestCentroid,0.6774193548387096,0.7070707070707071,0.7070707070707071,0.6922750424448217,0.013962984085083008
GaussianNB,0.6129032258064516,0.6616161616161615,0.6616161616161615,0.62944582299421,0.044888973236083984
LabelPropagation,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.015958070755004883
LabelSpreading,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.015957117080688477
LinearDiscriminantAnalysis,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.019947052001953125
ExtraTreesClassifier,0.7419354838709677,0.6212121212121212,0.6212121212121211,0.7158218125960061,0.10671710968017578
RandomForestClassifier,0.7741935483870968,0.6111111111111112,0.6111111111111112,0.7178425622448393,0.13265037536621094
LGBMClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.06681942939758301
SGDClassifier,0.6774193548387096,0.5757575757575758,0.5757575757575757,0.6642706872370266,0.01296234130859375
RidgeClassifier,0.7096774193548387,0.5656565656565656,0.5656565656565656,0.6686585304096826,0.014955997467041016
XGBClassifier,0.7419354838709677,0.5555555555555556,0.5555555555555556,0.6585607940446649,0.06682324409484863
AdaBoostClassifier,0.6774193548387096,0.5429292929292929,0.5429292929292929,0.6447772657450075,0.13763117790222168
ExtraTreeClassifier,0.6774193548387096,0.5429292929292929,0.5429292929292929,0.6447772657450075,0.013923168182373047
BaggingClassifier,0.7096774193548387,0.5328282828282829,0.5328282828282829,0.6372261514576506,0.04488182067871094
RidgeClassifierCV,0.7096774193548387,0.5328282828282829,0.5328282828282829,0.6372261514576506,0.01795196533203125
LinearSVC,0.6129032258064516,0.5303030303030303,0.5303030303030303,0.6129032258064516,0.02892136573791504
DecisionTreeClassifier,0.6451612903225806,0.5202020202020202,0.5202020202020202,0.6210020590253946,0.018948793411254883
KNeighborsClassifier,0.6774193548387096,0.51010101010101,0.5101010101010102,0.6161290322580646,0.018938541412353516
Perceptron,0.6774193548387096,0.51010101010101,0.5101010101010102,0.6161290322580646,0.01495981216430664
QuadraticDiscriminantAnalysis,0.7096774193548387,0.5,0.5,0.5891661594643944,0.022975683212280273
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.014960289001464844
SVC,0.7096774193548387,0.5,0.5,0.5891661594643944,0.020906448364257812
CalibratedClassifierCV,0.7096774193548387,0.5,0.5,0.5891661594643944,0.0449223518371582
LogisticRegression,0.6451612903225806,0.48737373737373735,0.4873737373737374,0.5950270927229452,0.019945859909057617
PassiveAggressiveClassifier,0.6451612903225806,0.48737373737373735,0.4873737373737374,0.5950270927229452,0.013927698135375977
