Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6774193548387096,0.7070707070707071,0.7070707070707071,0.6922750424448217,0.006981372833251953
LGBMClassifier,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.03889632225036621
DecisionTreeClassifier,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.014961957931518555
ExtraTreesClassifier,0.7741935483870968,0.6111111111111112,0.6111111111111112,0.7178425622448393,0.1221778392791748
XGBClassifier,0.7096774193548387,0.5984848484848485,0.5984848484848484,0.6899107755662321,0.05281853675842285
LabelPropagation,0.7096774193548387,0.5984848484848485,0.5984848484848484,0.6899107755662321,0.011968851089477539
LabelSpreading,0.7096774193548387,0.5984848484848485,0.5984848484848484,0.6899107755662321,0.009973764419555664
BaggingClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.031894683837890625
QuadraticDiscriminantAnalysis,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.007979393005371094
RidgeClassifier,0.7096774193548387,0.5656565656565656,0.5656565656565656,0.6686585304096826,0.015956401824951172
LinearDiscriminantAnalysis,0.7096774193548387,0.5656565656565656,0.5656565656565656,0.6686585304096826,0.011965513229370117
SVC,0.7419354838709677,0.5555555555555556,0.5555555555555556,0.6585607940446649,0.00797891616821289
RandomForestClassifier,0.7419354838709677,0.5555555555555556,0.5555555555555556,0.6585607940446649,0.16152191162109375
SGDClassifier,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.00997018814086914
Perceptron,0.6774193548387096,0.5429292929292929,0.5429292929292929,0.6447772657450075,0.00902104377746582
LinearSVC,0.6774193548387096,0.5429292929292929,0.5429292929292929,0.6447772657450075,0.010971307754516602
LogisticRegression,0.6774193548387096,0.5429292929292929,0.5429292929292929,0.6447772657450075,0.012966156005859375
KNeighborsClassifier,0.7096774193548387,0.5328282828282829,0.5328282828282829,0.6372261514576506,0.009974002838134766
GaussianNB,0.6451612903225806,0.5202020202020202,0.5202020202020202,0.6210020590253946,0.009974479675292969
ExtraTreeClassifier,0.6451612903225806,0.5202020202020202,0.5202020202020202,0.6210020590253946,0.016954898834228516
RidgeClassifierCV,0.7096774193548387,0.5,0.5,0.5891661594643944,0.0090179443359375
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.011968374252319336
CalibratedClassifierCV,0.7096774193548387,0.5,0.5,0.5891661594643944,0.028923988342285156
PassiveAggressiveClassifier,0.6451612903225806,0.48737373737373735,0.4873737373737374,0.5950270927229452,0.009974002838134766
BernoulliNB,0.6774193548387096,0.4772727272727273,0.4772727272727273,0.5732009925558313,0.010971546173095703
AdaBoostClassifier,0.5806451612903226,0.44191919191919193,0.44191919191919193,0.5520933424845574,0.1536571979522705
