Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.7741935483870968,0.7023809523809523,0.7023809523809523,0.7793182338137726,0.01392364501953125
LabelPropagation,0.7419354838709677,0.6815476190476191,0.6815476190476191,0.7524544179523142,0.011928796768188477
LabelSpreading,0.7419354838709677,0.6815476190476191,0.6815476190476191,0.7524544179523142,0.010017633438110352
LinearSVC,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.01695084571838379
SGDClassifier,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.0149993896484375
DecisionTreeClassifier,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.013959884643554688
GaussianNB,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.012014627456665039
PassiveAggressiveClassifier,0.6774193548387096,0.6398809523809523,0.6398809523809523,0.6985988921472793,0.0149993896484375
RidgeClassifierCV,0.7419354838709677,0.6309523809523809,0.6309523809523809,0.7419354838709677,0.020836591720581055
ExtraTreeClassifier,0.7419354838709677,0.6309523809523809,0.6309523809523809,0.7419354838709677,0.009974241256713867
NuSVC,0.8064516129032258,0.6220238095238095,0.6220238095238094,0.7751861042183624,0.011010169982910156
LinearDiscriminantAnalysis,0.6451612903225806,0.6190476190476191,0.6190476190476191,0.6712204366881195,0.011966705322265625
RidgeClassifier,0.6451612903225806,0.6190476190476191,0.6190476190476191,0.6712204366881195,0.01795339584350586
NearestCentroid,0.7096774193548387,0.6101190476190476,0.6101190476190476,0.7162663006177077,0.007978200912475586
SVC,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.009933710098266602
KNeighborsClassifier,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,0.013957738876342773
BaggingClassifier,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.04288649559020996
RandomForestClassifier,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.13862824440002441
ExtraTreesClassifier,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.10072851181030273
AdaBoostClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.1246647834777832
Perceptron,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.008981943130493164
LGBMClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.04886913299560547
BernoulliNB,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.016953468322753906
XGBClassifier,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.06183505058288574
QuadraticDiscriminantAnalysis,0.7741935483870968,0.5,0.5,0.6756598240469208,0.011924505233764648
DummyClassifier,0.7741935483870968,0.5,0.5,0.6756598240469208,0.009974479675292969
CalibratedClassifierCV,0.6774193548387096,0.4375,0.4375,0.6253101736972705,0.0578455924987793
