Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.7741935483870968,0.7023809523809523,0.7023809523809523,0.7793182338137726,0.03486919403076172
LinearSVC,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.03195691108703613
LabelPropagation,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.02094244956970215
DecisionTreeClassifier,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.02597332000732422
LabelSpreading,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.024974346160888672
RidgeClassifierCV,0.7741935483870968,0.6517857142857143,0.6517857142857143,0.7678128323289614,0.024147748947143555
LinearDiscriminantAnalysis,0.6774193548387096,0.6398809523809523,0.6398809523809523,0.6985988921472793,0.022898197174072266
PassiveAggressiveClassifier,0.6774193548387096,0.6398809523809523,0.6398809523809523,0.6985988921472793,0.01994490623474121
RidgeClassifier,0.6774193548387096,0.6398809523809523,0.6398809523809523,0.6985988921472793,0.032911062240600586
Perceptron,0.6451612903225806,0.6190476190476191,0.6190476190476191,0.6712204366881195,0.018950939178466797
SVC,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.023934125900268555
NuSVC,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.03690218925476074
GaussianNB,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,0.024954795837402344
BaggingClassifier,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,0.05182600021362305
BernoulliNB,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,0.03392529487609863
RandomForestClassifier,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,0.15853428840637207
KNeighborsClassifier,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.023001909255981445
SGDClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.02094435691833496
LGBMClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.07280516624450684
ExtraTreesClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.11768651008605957
NearestCentroid,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.055399179458618164
XGBClassifier,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.10073328018188477
CalibratedClassifierCV,0.7096774193548387,0.5089285714285714,0.5089285714285714,0.6786268759703296,0.07678365707397461
QuadraticDiscriminantAnalysis,0.7741935483870968,0.5,0.5,0.6756598240469208,0.0229799747467041
DummyClassifier,0.7741935483870968,0.5,0.5,0.6756598240469208,0.019902944564819336
AdaBoostClassifier,0.6129032258064516,0.4464285714285714,0.4464285714285714,0.6129032258064516,0.15190815925598145
ExtraTreeClassifier,0.5483870967741935,0.40476190476190477,0.40476190476190477,0.5667952314165497,0.01795196533203125
