Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.7741935483870968,0.7023809523809523,0.7023809523809523,0.7793182338137726,0.018989086151123047
GaussianNB,0.7419354838709677,0.6815476190476191,0.6815476190476191,0.7524544179523142,0.017910480499267578
LabelPropagation,0.7419354838709677,0.6815476190476191,0.6815476190476191,0.7524544179523142,0.0229794979095459
LabelSpreading,0.7419354838709677,0.6815476190476191,0.6815476190476191,0.7524544179523142,0.01595163345336914
LinearSVC,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.02689051628112793
SGDClassifier,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.01492452621459961
RidgeClassifierCV,0.7741935483870968,0.6517857142857143,0.6517857142857143,0.7678128323289614,0.016788482666015625
PassiveAggressiveClassifier,0.6774193548387096,0.6398809523809523,0.6398809523809523,0.6985988921472793,0.0139617919921875
RidgeClassifier,0.6774193548387096,0.6398809523809523,0.6398809523809523,0.6985988921472793,0.015958786010742188
NuSVC,0.8064516129032258,0.6220238095238095,0.6220238095238094,0.7751861042183624,0.014966249465942383
LinearDiscriminantAnalysis,0.6451612903225806,0.6190476190476191,0.6190476190476191,0.6712204366881195,0.017271995544433594
NearestCentroid,0.7096774193548387,0.6101190476190476,0.6101190476190476,0.7162663006177077,0.013962030410766602
Perceptron,0.7096774193548387,0.6101190476190476,0.6101190476190476,0.7162663006177077,0.01491546630859375
ExtraTreesClassifier,0.7096774193548387,0.6101190476190476,0.6101190476190476,0.7162663006177077,0.10875201225280762
SVC,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.02098536491394043
DecisionTreeClassifier,0.6129032258064516,0.5982142857142857,0.5982142857142857,0.6433179723502305,0.015995264053344727
BaggingClassifier,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.04284167289733887
RandomForestClassifier,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.13360071182250977
KNeighborsClassifier,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.028922319412231445
AdaBoostClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.12370896339416504
BernoulliNB,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.015000104904174805
LGBMClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.07081127166748047
XGBClassifier,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.06877684593200684
CalibratedClassifierCV,0.7096774193548387,0.5089285714285714,0.5089285714285714,0.6786268759703296,0.05684685707092285
QuadraticDiscriminantAnalysis,0.7741935483870968,0.5,0.5,0.6756598240469208,0.021985769271850586
DummyClassifier,0.7741935483870968,0.5,0.5,0.6756598240469208,0.01890850067138672
ExtraTreeClassifier,0.6129032258064516,0.49702380952380953,0.4970238095238094,0.6286816269284713,0.014919757843017578
