Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.7741935483870968,0.7023809523809523,0.7023809523809523,0.7793182338137726,0.030916452407836914
LabelPropagation,0.7419354838709677,0.6815476190476191,0.6815476190476191,0.7524544179523142,0.014961719512939453
LabelSpreading,0.7419354838709677,0.6815476190476191,0.6815476190476191,0.7524544179523142,0.015997648239135742
LinearSVC,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.021943092346191406
RidgeClassifierCV,0.7741935483870968,0.6517857142857143,0.6517857142857143,0.7678128323289614,0.021937131881713867
SGDClassifier,0.6774193548387096,0.6398809523809523,0.6398809523809523,0.6985988921472793,0.026928186416625977
ExtraTreeClassifier,0.6774193548387096,0.6398809523809523,0.6398809523809523,0.6985988921472793,0.014958381652832031
LinearDiscriminantAnalysis,0.6774193548387096,0.6398809523809523,0.6398809523809523,0.6985988921472793,0.016950130462646484
PassiveAggressiveClassifier,0.6774193548387096,0.6398809523809523,0.6398809523809523,0.6985988921472793,0.027935504913330078
RidgeClassifier,0.6774193548387096,0.6398809523809523,0.6398809523809523,0.6985988921472793,0.019950151443481445
DecisionTreeClassifier,0.6451612903225806,0.6190476190476191,0.6190476190476191,0.6712204366881195,0.02593255043029785
ExtraTreesClassifier,0.7096774193548387,0.6101190476190476,0.6101190476190476,0.7162663006177077,0.10966849327087402
NearestCentroid,0.7096774193548387,0.6101190476190476,0.6101190476190476,0.7162663006177077,0.019948244094848633
GaussianNB,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.019945383071899414
SVC,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.021941423416137695
NuSVC,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.016954421997070312
BaggingClassifier,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,0.07084894180297852
KNeighborsClassifier,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.0249330997467041
RandomForestClassifier,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.2522852420806885
BernoulliNB,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.013962030410766602
AdaBoostClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.14261913299560547
LGBMClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.06781673431396484
Perceptron,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.028913497924804688
XGBClassifier,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.07879018783569336
CalibratedClassifierCV,0.7096774193548387,0.5089285714285714,0.5089285714285714,0.6786268759703296,0.057840824127197266
QuadraticDiscriminantAnalysis,0.7741935483870968,0.5,0.5,0.6756598240469208,0.026677370071411133
DummyClassifier,0.7741935483870968,0.5,0.5,0.6756598240469208,0.014002084732055664
