Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
SVC,0.8064516129032258,0.7232142857142857,0.7232142857142857,0.8064516129032258,0.012964248657226562
KNeighborsClassifier,0.7741935483870968,0.7023809523809523,0.7023809523809523,0.7793182338137726,0.008934736251831055
GaussianNB,0.7419354838709677,0.6815476190476191,0.6815476190476191,0.7524544179523142,0.012966632843017578
LabelPropagation,0.7419354838709677,0.6815476190476191,0.6815476190476191,0.7524544179523142,0.010014533996582031
LabelSpreading,0.7419354838709677,0.6815476190476191,0.6815476190476191,0.7524544179523142,0.020901918411254883
QuadraticDiscriminantAnalysis,0.7419354838709677,0.6815476190476191,0.6815476190476191,0.7524544179523142,0.01894974708557129
NearestCentroid,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.03690052032470703
AdaBoostClassifier,0.7741935483870968,0.6517857142857143,0.6517857142857143,0.7678128323289614,0.12925124168395996
BernoulliNB,0.7741935483870968,0.6517857142857143,0.6517857142857143,0.7678128323289614,0.014960050582885742
NuSVC,0.7741935483870968,0.6517857142857143,0.6517857142857143,0.7678128323289614,0.05037951469421387
CalibratedClassifierCV,0.8064516129032258,0.6220238095238095,0.6220238095238094,0.7751861042183624,0.045411109924316406
ExtraTreeClassifier,0.7096774193548387,0.6101190476190476,0.6101190476190476,0.7162663006177077,0.7738823890686035
ExtraTreesClassifier,0.7096774193548387,0.6101190476190476,0.6101190476190476,0.7162663006177077,0.12199950218200684
RidgeClassifier,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.011968374252319336
RidgeClassifierCV,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,0.014958858489990234
LinearSVC,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,0.05037832260131836
LogisticRegression,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,0.02892160415649414
LinearDiscriminantAnalysis,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,0.061350345611572266
DecisionTreeClassifier,0.6451612903225806,0.5684523809523809,0.5684523809523809,0.6646426312460468,0.30303311347961426
XGBClassifier,0.6451612903225806,0.5684523809523809,0.5684523809523809,0.6646426312460468,0.05984163284301758
PassiveAggressiveClassifier,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.03690028190612793
BaggingClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.04384255409240723
RandomForestClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.17253732681274414
Perceptron,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.03195023536682129
SGDClassifier,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.012966156005859375
LGBMClassifier,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.04487800598144531
DummyClassifier,0.7741935483870968,0.5,0.5,0.6756598240469208,0.38286638259887695
