,Target,Model,Accuracy,Precision,Recall,F1-Score,CV
0,mf3,Logistic Regression,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944,0.6666666666666666
1,mf3,Logistic Regression_Best,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944,0.6666666666666666
2,mf3,Ridge,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944,0.6666666666666666
3,mf3,Ridge_Best,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944,0.667
4,mf3,Decision Tree,0.7096774193548387,0.7196620583717358,0.7096774193548387,0.7139416433055632,0.659
5,mf3,Decision Tree_Best,0.7096774193548387,0.77134724857685,0.7096774193548387,0.7226237997626498,0.6910000000000001
6,mf3,K-nn,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.619
7,mf3,K-nn_Best,0.7741935483870968,0.7824884792626727,0.7741935483870968,0.7775101670154382,0.7073333333333334
8,mf3,Random Forest,0.9032258064516129,0.9019985974754557,0.9032258064516129,0.9014547754585706,0.788
9,mf3,Random Forest_Best,0.8064516129032258,0.7987711213517666,0.8064516129032258,0.798562412342216,0.7966666666666666
10,mf3,BernoulliNB,0.7741935483870968,0.8043293718166384,0.7741935483870968,0.7820613690007868,0.7636666666666667
11,mf3,BernoulliNB_Best,0.7096774193548387,0.77134724857685,0.7096774193548387,0.7226237997626498,0.7636666666666667
12,mf3,GaussianNB,0.5161290322580645,0.682258064516129,0.5161290322580645,0.5272525027808677,0.46933333333333344
13,mf3,GaussianNB_Best,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944,0.667
14,subspecies,Logistic Regression,0.3225806451612903,0.1040582726326743,0.3225806451612903,0.15735641227380015,0.35
15,subspecies,Logistic Regression_Best,0.9354838709677419,0.9424486803519061,0.9354838709677419,0.9348457993619282,0.8613333333333333
16,subspecies,Ridge,0.3548387096774194,0.5591397849462365,0.3548387096774194,0.22150537634408604,0.35
17,subspecies,Ridge_Best,0.9032258064516129,0.913978494623656,0.9032258064516129,0.9007820136852395,0.748
18,subspecies,Decision Tree,0.967741935483871,0.9717741935483871,0.967741935483871,0.9682198327359617,0.9516666666666665
19,subspecies,Decision Tree_Best,0.8387096774193549,0.8602150537634408,0.8387096774193549,0.8442928039702233,0.952
20,subspecies,K-nn,0.8387096774193549,0.8456575682382134,0.8387096774193549,0.8324762350007792,0.8363333333333334
21,subspecies,K-nn_Best,0.8387096774193549,0.8730946472881956,0.8387096774193549,0.8344737699576408,0.8286666666666667
22,subspecies,Random Forest,1.0,1.0,1.0,1.0,1.0
23,subspecies,Random Forest_Best,1.0,1.0,1.0,1.0,1.0
24,subspecies,BernoulliNB,1.0,1.0,1.0,1.0,1.0
25,subspecies,BernoulliNB_Best,1.0,1.0,1.0,1.0,1.0
26,subspecies,GaussianNB,0.8064516129032258,0.8346774193548387,0.8064516129032258,0.8118866080156403,0.8463333333333335
27,subspecies,GaussianNB_Best,0.8064516129032258,0.8346774193548387,0.8064516129032258,0.8118866080156403,0.806
28,ST,Logistic Regression,0.12903225806451613,0.016649323621227886,0.12903225806451613,0.02949308755760369,0.13
29,ST,Logistic Regression_Best,0.12903225806451613,0.016649323621227886,0.12903225806451613,0.02949308755760369,0.13
30,ST,Ridge,0.12903225806451613,0.016649323621227886,0.12903225806451613,0.02949308755760369,0.13
31,ST,Ridge_Best,0.2903225806451613,0.23978494623655913,0.2903225806451613,0.22749615975422427,0.24333333333333335
32,ST,Decision Tree,0.25806451612903225,0.2634408602150538,0.25806451612903225,0.24301075268817204,0.25166666666666665
33,ST,Decision Tree_Best,0.1935483870967742,0.1881720430107527,0.1935483870967742,0.18387096774193548,0.25966666666666666
34,ST,K-nn,0.3225806451612903,0.23655913978494622,0.3225806451612903,0.2552995391705069,0.268
35,ST,K-nn_Best,0.3225806451612903,0.2655913978494624,0.3225806451612903,0.27598566308243727,0.341
36,ST,Random Forest,0.4838709677419355,0.43494623655913983,0.4838709677419355,0.4288274449564772,0.43933333333333324
37,ST,Random Forest_Best,0.41935483870967744,0.4462365591397849,0.41935483870967744,0.3817204301075268,0.41466666666666663
38,ST,BernoulliNB,0.41935483870967744,0.3102150537634409,0.41935483870967744,0.35140809011776747,0.39033333333333337
39,ST,BernoulliNB_Best,0.41935483870967744,0.3155913978494624,0.41935483870967744,0.35678443420378897,0.4303333333333333
40,ST,GaussianNB,0.3225806451612903,0.2817972350230415,0.3225806451612903,0.27341153470185725,0.309
41,ST,GaussianNB_Best,0.3225806451612903,0.2817972350230415,0.3225806451612903,0.27341153470185725,0.309
