Target,Dataframe,Model,Accuracy CV,St. Dev. CV,Precision CV,Recall CV,F1-Score CV,Accuracy,Bal. Accuracy
Eritromicina,maldi,Stack,0.5461538461538461,0.0463573999570178,0.5299865330747684,0.5461538461538461,0.5206104308820778,0.5294117647058824,0.5508771929824561
Tetraciclina,maldi,Stack,0.6743589743589744,0.05102499677469847,0.6763802863802864,0.6743589743589744,0.672563466518489,0.7647058823529411,0.7424242424242424
Gentamicina,maldi,Stack,0.6210826210826211,0.006978603255792523,0.3857923231142605,0.6210826210826211,0.47593147593147594,0.7647058823529411,0.6
Clindamicina,maldi,Stack,0.8182336182336183,0.0143188967215146,0.8279131147971727,0.8182336182336183,0.7995384714281698,0.7058823529411765,0.6428571428571428
Enrofloxacin,maldi,Stack,0.696866096866097,0.005582882604634041,0.4856535255395654,0.696866096866097,0.5723883202144073,0.5882352941176471,0.5
ANT(6)-Ia,maldi,Stack,0.825925925925926,0.016719545015522752,0.705805959367213,0.825925925925926,0.7575033432176289,0.7941176470588235,0.5
ErmB,maldi,Stack,0.8182336182336181,0.014318896721514596,0.6697112848110001,0.8182336182336181,0.736503421153877,0.7352941176470589,0.5
lsaE,maldi,Stack,0.7803418803418803,0.01419935703062918,0.6325078530206735,0.7803418803418803,0.6943595052290705,0.7352941176470589,0.5
mefE,maldi,Stack,0.841025641025641,0.013289918848650276,0.7075007508055942,0.841025641025641,0.768459445316588,0.8823529411764706,0.5
tetM,maldi,Stack,0.8561253561253561,0.014471139714188359,0.7331600392853955,0.8561253561253561,0.7898289435432292,0.7352941176470589,0.5
tetO,maldi,Stack,0.7498575498575499,0.019832825394822954,0.6689029147490685,0.7498575498575499,0.6718353046130823,0.7352941176470589,0.6538461538461539
mf3,maldi,Stack,0.7273504273504274,0.027320734119058363,0.6700316718208457,0.7273504273504274,0.6429277915069578,0.7352941176470589,0.6146245059288538
subspecies,maldi,Stack,0.8179487179487179,0.06131250063063573,0.8230944055944057,0.8179487179487179,0.8132764698321975,0.7941176470588235,0.787878787878788
Eritromicina,clusters,Stack,0.5837606837606837,0.03572517798157777,0.6174451474451474,0.5837606837606837,0.5370791113462923,0.5294117647058824,0.5438596491228069
Tetraciclina,clusters,Stack,0.6891737891737891,0.01838434849561445,0.6953129386952916,0.6891737891737891,0.6871288313367273,0.7352941176470589,0.7196969696969697
Gentamicina,clusters,Stack,0.6210826210826211,0.006978603255792523,0.3857923231142605,0.6210826210826211,0.47593147593147594,0.7058823529411765,0.5
Clindamicina,clusters,Stack,0.8105413105413104,0.0034893016278962343,0.8228824570491236,0.8105413105413104,0.7880871836978125,0.6764705882352942,0.6071428571428571
Enrofloxacin,clusters,Stack,0.696866096866097,0.005582882604634041,0.4856535255395654,0.696866096866097,0.5723883202144073,0.5882352941176471,0.5
ANT(6)-Ia,clusters,Stack,0.8333333333333334,0.018286959015249248,0.7479500978076477,0.8333333333333334,0.7728976490881252,0.7647058823529411,0.48148148148148145
ErmB,clusters,Stack,0.7954415954415955,0.03896577769943962,0.6824860390743582,0.7954415954415955,0.7331922531261768,0.7352941176470589,0.5
lsaE,clusters,Stack,0.7803418803418803,0.01419935703062918,0.6325078530206735,0.7803418803418803,0.6943595052290705,0.7352941176470589,0.5
mefE,clusters,Stack,0.841025641025641,0.013289918848650276,0.7075007508055942,0.841025641025641,0.768459445316588,0.8823529411764706,0.5
tetM,clusters,Stack,0.8484330484330485,0.024484854928621517,0.7321186191670523,0.8484330484330485,0.7859282343233711,0.7352941176470589,0.5
tetO,clusters,Stack,0.7572649572649572,0.0320383006316563,0.6783232046041409,0.7572649572649572,0.6823528835027541,0.7647058823529411,0.6923076923076923
mf3,clusters,Stack,0.7276353276353277,0.03358199795187961,0.7526446672236144,0.7276353276353277,0.6720540781522694,0.7647058823529411,0.6600790513833992
subspecies,clusters,Stack,0.8638176638176638,0.029006710851761652,0.8824442224442224,0.8638176638176638,0.8619954297508476,0.8529411764705882,0.8484848484848485
