Target,Dataframe,Model,Accuracy CV,St. Dev. CV,Precision CV,Recall CV,F1-Score CV,Accuracy,Bal. Accuracy
Eritromicina,maldi,Stack,0.6300395256916995,0.07497805977156916,0.6286490683229814,0.6300395256916995,0.5733066159539555,0.5714285714285714,0.5333333333333333
Tetraciclina,maldi,Stack,0.7130434782608696,0.09582351621956949,0.7282652613087395,0.7130434782608696,0.7095268331973137,0.5357142857142857,0.5208333333333334
Gentamicina,maldi,Stack,0.6229249011857707,0.07513417099878043,0.5261484829573033,0.6229249011857707,0.5238054422709155,0.6428571428571429,0.5454545454545454
Clindamicina,maldi,Stack,0.8292490118577074,0.06529041306655096,0.8321965363012274,0.8292490118577074,0.8192397573438553,0.8928571428571429,0.6466666666666666
Enrofloxacin,maldi,Stack,0.6213438735177865,0.04799727634739566,0.4699835179427893,0.6213438735177865,0.5260274514279091,0.5714285714285714,0.42105263157894735
ANT(6)-Ia,maldi,Stack,0.8288537549407116,0.017658741425840837,0.7014780287593486,0.8288537549407116,0.7595710934523235,0.8571428571428571,0.48
ErmB,maldi,Stack,0.8648221343873518,0.028845632079871814,0.8716090388724659,0.8648221343873518,0.8547340683725123,0.9285714285714286,0.7307692307692308
lsaE,maldi,Stack,0.774308300395257,0.042504363822197834,0.6970235956401964,0.774308300395257,0.703810362025465,0.9285714285714286,0.6666666666666666
mefE,maldi,Stack,0.8288537549407116,0.017658741425840837,0.6873103782280617,0.8288537549407116,0.7513892752705054,0.9285714285714286,0.5
tetM,maldi,Stack,0.8470355731225296,0.02048483560450582,0.7178888906247559,0.8470355731225296,0.7770212043170686,0.6785714285714286,0.5
tetO,maldi,Stack,0.8743083003952569,0.03153644941552361,0.8758620530245244,0.8743083003952569,0.863244083484358,0.9285714285714286,0.7307692307692308
mf3,maldi,Stack,0.6754940711462449,0.04543563793042387,0.6053646287836012,0.6754940711462449,0.6236770007520995,0.6071428571428571,0.516042780748663
subspecies,maldi,Stack,0.8375494071146246,0.037317779452718323,0.8486286780851998,0.8375494071146246,0.8371757721211337,0.9285714285714286,0.9047619047619048
